method,context,repeat,x,set,metric_name,gene,value
scLambda,replogle_k562_essential_k562,0,0.0,test,correlation,all,0.014349556194416564
scLambda,replogle_k562_essential_k562,0,0.0,test,correlation,de,-0.019040855481399718
scLambda,replogle_k562_essential_k562,0,0.0,test,correlation,hvg,0.0025652673955369105
scLambda,replogle_k562_essential_k562,0,0.0,test,mae,all,0.04415916344687385
scLambda,replogle_k562_essential_k562,0,0.0,test,mae,de,0.20307064565019775
scLambda,replogle_k562_essential_k562,0,0.0,test,mae,hvg,0.047979937864536575
scLambda,replogle_k562_essential_k562,0,0.0,test,mse,all,0.004690482272372009
scLambda,replogle_k562_essential_k562,0,0.0,test,mse,de,0.06875074683743185
scLambda,replogle_k562_essential_k562,0,0.0,test,mse,hvg,0.006132885717412258
scLambda,replogle_k562_essential_k562,0,0.0,test,systema_bias,all,-0.269846792087986
scLambda,replogle_k562_essential_k562,0,0.0,test,systema_bias,de,-0.4056057001661715
scLambda,replogle_k562_essential_k562,0,0.0,test,systema_bias,hvg,-0.3236255040476325
scLambda,replogle_k562_essential_k562,0,0.0,test,systema_correlation,all,0.08941399809373785
scLambda,replogle_k562_essential_k562,0,0.0,test,systema_correlation,de,-0.2219834593801665
scLambda,replogle_k562_essential_k562,0,0.0,test,systema_correlation,hvg,0.12014825925289138
scLambda,replogle_k562_essential_k562,0,10.0,test,correlation,all,0.3209836802175517
scLambda,replogle_k562_essential_k562,0,10.0,test,correlation,de,0.4182130701112066
scLambda,replogle_k562_essential_k562,0,10.0,test,correlation,hvg,0.3367309133436578
scLambda,replogle_k562_essential_k562,0,10.0,test,mae,all,0.041973296303355556
scLambda,replogle_k562_essential_k562,0,10.0,test,mae,de,0.17533297523869287
scLambda,replogle_k562_essential_k562,0,10.0,test,mae,hvg,0.045580255369810266
scLambda,replogle_k562_essential_k562,0,10.0,test,mse,all,0.004060728418726835
scLambda,replogle_k562_essential_k562,0,10.0,test,mse,de,0.054882244008892495
scLambda,replogle_k562_essential_k562,0,10.0,test,mse,hvg,0.0052152148978187205
scLambda,replogle_k562_essential_k562,0,10.0,test,systema_bias,all,0.44981736581493803
scLambda,replogle_k562_essential_k562,0,10.0,test,systema_bias,de,0.36950098415785576
scLambda,replogle_k562_essential_k562,0,10.0,test,systema_bias,hvg,0.4259137197270628
scLambda,replogle_k562_essential_k562,0,10.0,test,systema_correlation,all,0.16395212549640853
scLambda,replogle_k562_essential_k562,0,10.0,test,systema_correlation,de,0.12376981437845344
scLambda,replogle_k562_essential_k562,0,10.0,test,systema_correlation,hvg,0.19748857965774766
scLambda,replogle_k562_essential_k562,0,30.0,test,correlation,all,0.35945575520126827
scLambda,replogle_k562_essential_k562,0,30.0,test,correlation,de,0.4716515063611269
scLambda,replogle_k562_essential_k562,0,30.0,test,correlation,hvg,0.3789118781774281
scLambda,replogle_k562_essential_k562,0,30.0,test,mae,all,0.041857328566725714
scLambda,replogle_k562_essential_k562,0,30.0,test,mae,de,0.17263747749830766
scLambda,replogle_k562_essential_k562,0,30.0,test,mae,hvg,0.045352850144932025
scLambda,replogle_k562_essential_k562,0,30.0,test,mse,all,0.003993370800748303
scLambda,replogle_k562_essential_k562,0,30.0,test,mse,de,0.05283529426129887
scLambda,replogle_k562_essential_k562,0,30.0,test,mse,hvg,0.0051003218539394405
scLambda,replogle_k562_essential_k562,0,30.0,test,systema_bias,all,0.4196123085329919
scLambda,replogle_k562_essential_k562,0,30.0,test,systema_bias,de,0.33557682358700025
scLambda,replogle_k562_essential_k562,0,30.0,test,systema_bias,hvg,0.38374293896734163
scLambda,replogle_k562_essential_k562,0,30.0,test,systema_correlation,all,0.22075927111463112
scLambda,replogle_k562_essential_k562,0,30.0,test,systema_correlation,de,0.22427985644546874
scLambda,replogle_k562_essential_k562,0,30.0,test,systema_correlation,hvg,0.2578859916434881
scLambda,replogle_k562_essential_k562,0,50.0,test,correlation,all,0.3969712520708503
scLambda,replogle_k562_essential_k562,0,50.0,test,correlation,de,0.5040308675775461
